City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,zharkent,44.1628,80.0,19.47,91,98,4.07,KZ,1706574733
145,port saint john's,-31.6229,29.5448,75.87,88,9,14.61,ZA,1706574734
146,nizhnyaya tavda,57.6731,66.1725,-11.65,100,100,3.42,RU,1706574734
147,corridonia,43.2511,13.5088,42.75,55,0,3.74,IT,1706574734
148,middelburg,-25.7751,29.4648,62.78,83,100,4.27,ZA,1706574734
149,usinsk,65.9939,57.5281,10.08,94,100,18.01,RU,1706574734
150,ataq,14.5377,46.8319,62.13,89,39,10.54,YE,1706574735
151,nar'yan-mar,67.6713,53.087,23.11,91,100,25.99,RU,1706574735
152,rio grande,-32.035,-52.0986,71.71,83,0,9.53,BR,1706574735
153,kingston,17.997,-76.7936,79.75,80,75,2.3,JM,1706574477
154,new norfolk,-42.7826,147.0587,71.92,20,0,4.0,AU,1706574735
155,sharan,54.8167,54.0,19.58,96,100,9.73,RU,1706574736
156,belmonte,-15.8631,-38.8828,78.71,86,100,9.69,BR,1706574736
157,xuddur,4.1213,43.8894,71.91,84,42,12.91,SO,1706574736
158,marinha grande,39.7477,-8.9323,54.45,93,100,2.3,PT,1706574736
159,penzance,50.1186,-5.5371,45.28,81,100,19.82,GB,1706574736
160,aykhal,66.0,111.5,-12.69,100,98,2.37,RU,1706574737
161,paysandu,-32.3214,-58.0756,82.6,48,100,3.47,UY,1706574602
162,garoowe,8.4054,48.4845,71.83,80,97,13.4,SO,1706574737
163,vorkuta,67.5,64.0,3.07,91,100,13.29,RU,1706574738
164,kendari,-3.945,122.4989,82.63,82,57,2.15,ID,1706574738
165,manakara,-22.1333,48.0167,74.84,73,62,6.62,MG,1706574738
166,homer,59.6425,-151.5483,4.8,81,100,26.46,US,1706574738
167,invercargill,-46.4,168.35,61.02,89,99,11.99,NZ,1706574738
168,klyuchi,52.2667,79.1667,-0.11,97,82,6.64,RU,1706574739
169,mareeba,-17.0,145.4333,90.48,89,100,6.69,AU,1706574739
170,tyuratam,45.6507,63.3156,20.73,96,90,7.09,KZ,1706574739
171,miltenberg,49.7039,9.2644,42.89,88,99,3.02,DE,1706574739
172,fort st. john,56.2499,-120.8529,49.89,53,20,12.66,CA,1706574479
173,remire-montjoly,4.9167,-52.2667,75.24,94,10,1.14,GF,1706574739
174,tenenkou,14.4572,-4.9169,70.07,16,0,10.58,ML,1706574740
175,novyy urgal,51.0736,132.5642,-8.54,97,100,3.22,RU,1706574526
176,slave lake,55.2834,-114.769,35.58,75,0,4.61,CA,1706574740
177,mooloolaba,-26.6833,153.1167,81.3,99,100,1.99,AU,1706574740
178,tura,25.5198,90.2201,53.37,64,0,2.75,IN,1706574740
179,qaqortoq,60.7167,-46.0333,-13.36,77,20,6.49,GL,1706574553
180,alice springs,-23.7,133.8833,94.55,12,6,11.5,AU,1706574741
181,saint-joseph,-21.3667,55.6167,75.58,85,18,8.68,RE,1706574741
182,myitkyina,25.3833,97.4,53.22,71,0,2.91,MM,1706574741
183,gao,16.6362,1.637,64.67,18,13,12.82,ML,1706574741
184,hobyo,5.3505,48.5268,78.69,79,100,16.44,SO,1706574741
185,nikolayevsk-on-amure,53.1406,140.73,6.19,89,100,3.4,RU,1706574742
186,san patricio,28.017,-97.5169,62.55,52,96,7.47,US,1706574742
187,cold spring harbor,40.8715,-73.4568,37.72,73,100,12.66,US,1706574742
188,georgetown,5.4112,100.3354,78.73,86,20,5.75,MY,1706574716
189,anadyr,64.75,177.4833,-30.5,75,40,11.18,RU,1706574742
190,imbituba,-28.24,-48.6703,74.86,89,7,4.18,BR,1706574743
191,scarborough,54.2797,-0.4044,49.57,94,100,11.21,GB,1706574485
192,joao pinheiro,-17.7425,-46.1725,71.26,75,22,2.68,BR,1706574743
193,uturoa,-16.7333,-151.4333,83.95,74,18,5.79,PF,1706574743
194,bangassou,4.7413,22.8184,69.1,53,99,3.38,CF,1706574744
195,touros,-5.1989,-35.4608,80.94,79,3,11.14,BR,1706574744
196,pandan,14.0453,124.1694,77.85,75,100,17.34,PH,1706574744
197,smithers,54.7804,-127.1743,44.92,76,75,0.0,CA,1706574615
198,jiaozhou,36.2839,120.0033,26.56,79,100,6.71,CN,1706574744
199,aginskoye,51.1,114.53,-18.36,98,16,4.23,RU,1706574744
200,rumbek,6.802,29.6912,76.64,24,83,3.83,SS,1706574745
201,mont-laurier,46.5501,-75.4993,20.82,90,100,1.86,CA,1706574745
